Player Tag,Main
OwlBBs,Banjo
OwlBBs,Bayonetta
OwlBBs,Sora
Oyasumi,Lucas
Pacha,Palutena
Paco,Ridley
pacstreet,Pac-Man
pacstreet,Min Min
Pain!,Meta Knight
Pain!,Pit
Pain!,Kirby
Pain!,Ganon
Pajarito,Inkling
Pancake ,Pac-Man
Pancakes,Inkling
PantherGod02,Fox
PapaCharly,Wario
Paras,G&W
Parme,Samus
Paroka,Captain Falcon
Paseriman,Fox
Paseriman,Diddy Kong
Peabnut,Mega Man
Peachfuzz,Greninja
Peachfuzz,G&W
Peanut,Little Mac
Peckham,Min Min
Pelca,Snake
Peli,Sonic
Peli,King Dedede
Pepo,Wolf
Pepo,Palutena
Peppa,Mario
Perezoso,Steve
Perezoso,Hero
Perkinips,Mario
Perla,Olimar
Peru,Duck Hunt
Peru,Greninja
PeW,Ness
PeW,Min Min
PewPewU,Sheik
PeZ,Fox
PeZ,Captain Falcon
Pharaoh,Yoshi
Phil,Sonic
Phirb,Ice Climbers
Phonix Wrong,Bowser
Phonix Wrong,Captain Falcon
PillowTalk,Bayonetta
Pineda,Palutena
Pink Fresh,Min Min
Pipwolf,Kazuya
PixelsOPlenty,Samus
PK,Snake
PkChris,Ness
Plasma,Yoshi
Player 4,Peach
Player 7,G&W
Player-1,Diddy Kong
Plum,Yoshi
Polinomis,Lucario
Pollitopio,Bowser
POMUPOMU,Pac-Man
poof,Link
poof,Cloud
Poppt1,G&W
Poppt2,Wolf
Poro,Cloud
Portix,Greninja
Postcard,Falco
Potato,Link
Pow,Steve
Poyo,Aegis
Prismoid,Villager
Prismoid,Diddy Kong
PRoM,Bowser Jr
ProtoBanham,Lucina
ProtoBanham,Min Min
ProtoBanham,Inkling
ProtoBanham,Banjo
PSI Force,Ness
PsineWave,Ness
PsyKoD,Ike
Psysilex,Ness
Ptsd,Terry
Ptsd,Kazuya
Purply,Mii Brawler
PYK,G&W
Q,Corrin
Quandale Dinglelingleton,Steve
Quandale Dinglelingleton,Dr. Mario
Quaylectra,Ridley
Quidd,PT
quiK,Samus
Quinn,Palutena
Quote,Hero
R4YM0ND,Lucas
Raarchyor,Sora
Raarchyor,Greninja
raelu,Joker
raelu,Sheik
Raflow,Palutena
Raflow,Dark Samus
Rage,Bayonetta
Rain,Aegis
Raiteu,Palutena
Raito,Duck Hunt
Raito,Banjo
Raki,Kazuya
Raki,Steve
ram,Snake
Ramses,Shulk
Rapires,Kazuya
Rarikkusu,Donkey Kong
Rarikkusu,Falco
Rarukun,Luigi
Rasuku,Olimar
Rattsu,Greninja
Rattsu,Kazuya
Rave,King K.Rool
Rave,Link
Raven,Falco
Ravenking,Joker
Ravenking,Ike
RawChips,Wii Fit Trainer
RawChips,Bowser Jr
Rayne!,Bowser Jr
Rayo,Snake
RaZe,Link
RaZe,Dark Pit
Rearlet,Bowser
rebs,Greninja
red berpo,Joker
red berpo,Falco
red berpo,Kazuya
Red16,Wolf
Redjohn,Bayonetta
Reed,Aegis
Reelsteal,Bowser Jr
Regal,Aegis
Regal,Palutena
Regal,Byleth
Regalo,Lucas
Rehann,Luigi
Remrin,Mewtwo
Renami,G&W
renard,Captain Falcon
renard,Fox
Reno,Byleth
Reno,Sephiroth
Reno,Aegis
RenSoul,Lucas
Repo,Mega Man
reridse,Bowser Jr
Resen,Jigglypuff
Revolver,Roy
Revolver,Cloud
Revolver,Chrom
RezNexis,Ridley
RFang,Pichu
RFang,Young Link
Ri-ma,Toon Link
Ri-ma,Joker
Ricekraker,Byleth
Rich Brown,Min Min
Rickles,Ganondorf
Riddles,Kazuya
Riddles,Terry
Riddles,Ken
Riddles,Richter
Riddul,Diddy Kong
Rido,Link
RIGONARDO,Ganondorf
Riku,Steve
Riku,Pit
Rikuya,Diddy Kong
Rima,Steve
Rimu,Min Min
Rimu,Steve
Rinkururu,Lucas
Rinkururu,Min Min
Ripka,Greninja
Ripka,PT
Risette,Robin
RiskTKR,R.O.B
RiskTKR,Piranha Plant
Riteshia,Aegis
Ritsu,Lucina
Rivers,Diddy Kong
Rivers,Chrom
Rizeasu,Marth
Rizeasu,Byleth
Rizeasu,Cloud
Rizeasu,Mii Brawler
Rizeasu,Sephiroth
Rizeasu,Robin
Rizeasu,Terry
Rizeo,Isabelle
rm8,Ike
Roar,Incineroar
ROB Slayer,R.O.B
Rob.,Snake
Robber,Young Link
ROBOT3050,Snake
Rocke,Pac-Man
RockMan,Steve
RockMan,Mega Man
Roki Tendonman,R.O.B
Rokki,Isabelle
Rokki,Aegis
Rokki,Villager
Romeo Santos,Steve
Ron,Yoshi
Ron,Kirby
Ronin,Link
Rox,Sheik
Rox,Lucina
Rox,Joker
RuaanRuaan,Bayonetta
Rugal,Cloud
Rugal,Joker
ruketasu,Steve
Ryan,R.O.B
RyanDCB,Piranha Plant
Rydra,Ridley
rym!,Ice Climbers
Ryuga,Ike
Ryuk,R.O.B
RyuKai,Wolf
RyuKai,Fox
Ryuoh,Diddy Kong
S1rlo,Aegis
saboten,R.O.B
Sabre,Jigglypuff
Sage Mode,Banjo
Sage Mode,Greninja
Sakana,Bowser
Sakimori,Terry
Sal,Zero Suit Samus
Saladbar,Greninja
Saleem Shady,PT
Saloum,PT
Salt,Joker
Saltlord,Aegis
Sam,Aegis
Sam,Dark Pit
Sam,Dark Samus
sam,G&W
SammyG,King K.Rool
Samuel,Steve
Samuuu,Bayonetta
San,Ike
Sandro,Bowser
Saosin,Ken
Saosin,Ryu
Sap1ens,Diddy Kong
SaSamisu,Palutena
Sauce,Mario
Sauce,Roy
Sauce,Yoshi
SBF,Wario
ScAtt,Mega Man
ScAtt,Snake
Scend,Ness
Scurll-,Sonic
Scythe,Ice Climbers
Sean,Captain Falcon
SebPro101,R.O.B
Seco,Sonic
Secret,Mewtwo
Secret,Joker
Seesaw,Incin
Seether,Robin
Sefaro,Inkling
Seika,Toon Link
self,Snake
self-flagellate (s-f),Byleth
Selkie,Aegis
Selkie,Palutena
Senn,Sheik
Senra,Jigglypuff
Senra,Lucina
Sensei,Snake
Serge,Luigi
sha,Roy
SHADIC,Corrin
Shadow,Joker
Shady,Aegis
Shaine,Incineroar
Shaka,Joker
Shaneak,Inkling
shanes,Incineroar
Shangrai,Fox
SHARPY,Incineroar
Shell Shocked,Bowser
Shell Shocked,King Dedede
Shelter,Bayonetta
Shen~ ,Terry
Shen~ ,Ken
Shen~ ,Dedede
Shiba,Ice Climbers
Shigura,Chrom
Shinnnnnji,Olimar
ShinyMark,Pikachu
ShinyMark,Lucina
shion,Zero Suit Samus
Shirasu,Kazuya
Shirayuki,Inkling
shirome,Toon Link
Shirube,Min Min
Shissho,Dr. Mario
Shissho,Mii Swordfighter
shky,Zero Suit Samus
Shmegula,Bowser
Shmegula,Min Min
Shmu,Pikachu
Sho,Meta Knight
sho,Snake
sho,Rosalina
Shoe,Zero Suit Samus
Shoghi,Roy
Shogun,Snake
Shogun,Fox
Shop,King K.Rool
shori,Wolf
showers,Inkling
shrutik,Inkling
Shu,Steve
Shuck3y,Palutena
Shunitsu,Jigglypuff
Shunitsu,Peach
Shuton,Olimar
Shuton,Aegis
SickBoy,R.O.B
Sidarezakura,Snake
Sigma,Toon Link
Sikey,Roy
Sikey,Chrom
Silicon,Wario
Silicon,Villager
Silver,Wii Fit Trainer
Silver,Pit
Sinji,Pac-Man
Sintro,R.O.B
Sir Samo,Pac-Man
Sir Samo,Peach
Sisqui,Samus
Sisqui,Dark Samus
Skaws,Toon Link
Skeletal,Min Min
SKIPPER,Falco
skittles,Young Link
Skitz,Wario
Skullkid,Yoshi
SkWiirrel,Duck Hunt
Skye,Snake
Skyjay,Incineroar
Slash,Joker
SLASHY,Mii Brawler
SlawpiPawpi,Lucas
Slime,Bowser Jr
Slingshot,Diddy Kong
Slvr,Sonic
Smallleft,PT
Smalleft,Aegis
smasher1001,Wolf
Smear,Snake
Smirk,Ken
Smokk,Roy
Smokk,Snake
smub,Ridley
SMX199,Steve
SMX200,Sephiroth
Snickeldorf,G&W
sno,Sora
snogi,Wolf
snogi,Bayonetta
snogi,Roy
snogi,Chrom
Snook,Palutena
Snow,Mario
Snow,Aegis
Soar,Steve
Soar,Sephiroth
Soar,PT
soh,Aegis
Solar,Pit
Solarose,Zelda
SolidTips,Snake
Solis,Joker
Solo,Ness
Solobattle,Wario
Some,Greninja
Songn,G&W
Sonido,Sonic
Sonido,Snake
Sonix,Sonic
Sonjo,Steve
Sonjo,Steve
Sora Asakusa,Ryu
Sora Asakusa,Sora
Sorlando,King Dedede
soudsamus,Palutena
SoulArts,Shulk
SP1,Snake
Space,Aegis
Space,Inkling
Space,Sephiroth
Spade,Captain Falcon
Spammage,Ice Climbers
Spanky,PT
Sparg0,Cloud
Sparg0,Aegis
Sparg0,Byleth
Sparg1,Lucina
SPARKLE,Hero
Spectral,Samus
Spickles,Luigi
SpideyFool,Min Min
Spike,Incineroar
Spikefire,Yoshi
Spiral,Sora
spot,Steve
Spritzy,Toon Link
Spyder,PT
SquidNinja,Mewtwo
Squidplumber,Richter
Sriks,Sephiroth
Sriks,Roy
Ssaturday,Mario
sssr,R.O.B
Ssunflower,Sephiroth
Ssunflower,Marth
Stacked,Falco
Stain,Captain Falcon
STARLEE,Palutena
StarMod,Captain Falcon
Starr,Robin
SteelRhydon,Wolf
Steffen,Steve
Stelar,Corrin
Sticccy,Fox
Stigma,Terry
Stigma,Sephiroth
StirFryTy,Little Mac
Storm,Snake
Streakz,Fox
Stroder,PT
Stroder,Wolf
Stroder,Greninja
Stroder,Sora
Stroder,Mario
Stunning,Captain Falcon
Stxr,Lucas
Stylos,Young Link
Suarez,Yoshi
Suinoko,Young Link
Sunea,Steve
Sunny,Snake
Sunny,Captain Falcon
Supahsemmie,Young Link
Superberry,Mii Brawler
SUPERBIGMARIOFAN,Kazuya
SuperGirlKels,Sonic
SuperStriker,Sonic
Suspect,Kazuya
Sweshi,Bowser Jr
syadou,Mario
Sylph,Sheik
Synergy,Robin
syobbon,Steve
Syrup,Steve
Syrup,Ness
Sytonix,Ken
syumai,Lucas
syumai,Sephiroth
syumai,Peach
Syupi,Falco
szoob,Sephiroth
T,Link
T_pot,Terry
T3 DOM,Richter
Tachyon,Pikachu
Tacobros,Joker
Taicho,Greninja
Taikei,Sonic
Taishow,Snake
Takaberi,Ken
takera,Ken
takoman,Cloud
Takuteria,R.O.B
Tales,Min Min
Tales,Aegis
Tales,Yoshi
Tama,Aegis
tama,Greninja
TamaPDaifuku,Bayonetta
tameigo,R.O.B
Tamushika,Duck Hunt
Tanark,Fox
Tanark,Shulk
TapuMelee,Mewtwo
Tarakotori,Little Mac
Tarakotori,Aegis
Tarik,Greninja
Tarik,Kazuya
Tashi,Young Link
Tavirow,ZSS
TayJuice,Bayonetta
Tazo,Bayonetta
Te-sHi,Samus
Tea,Pac-Man
Tea,Kazuya
Teaser,Samus
Tede,PT
Teehee!,Shulk
Teehee!,Pac-Man
TehBlueOne,Snake
Tempaman,Incineroar
Tengdono,Captain Falcon
Terrarian,Pac-Man
Tet.,Pit
Tet.,Sora
Tet.,Dark Pit
Thass,Fox
The favy,Diddy Kong
The favy,Luigi
The Great Gonzalez,Diddy Kong
The Great Gonzalez,Palutena
The Great Gonzalez,G&W
THE SCHMIXTAPE,Yoshi
THE SCHMIXTAPE,Mii Gunner
THE SCHMIXTAPE,Wolf
TheHuzz,G&W
TheReflexWonder,Wario
TheZek,Greninja
Thina,Greninja
Thorn,Hero
ThymeBalloon,Bowser
ThymeBalloon,Sephiroth
Tickle,Aegis
Tilde,Falco
TimPrater,Mewtwo
TJosher,Mario
tk3,Chrom
tk4,Roy
TKBreezy,Wii Fit Trainer
TKM,Byleth
TKM,Cloud
TKM,Peach
TM7_ZAP,Bowser Jr
TM7_ZAP,Luigi
Toad,Peach
Toad,Palutena
Toad,PT
Toast,Young Link
Toasted,G&W
Tofalu,Lucina
Toguro,Mario
Toguro,Luigi
Toji Worm,Sephiroth
Toji Worm,Sonic
Toji Worm,Dark Pit
Toji Worm,Aegis
Tomberry,Snake
Tomberry,Wolf
Tomisa,Ice Climbers
Ton,Palutena
Ton,Aegis
Tony Pajamas,Ness
Tooky,Pac-Man
Tora,Ike
Toriguri,Banjo
toughsnow,Zero Suit Samus
Toura,Samus
Towa,Corrin
trade war,Corrin
trade war,Zelda
trade war,Rosalina
TRAIN,Dark Samus
Trash Day!,Bowser Jr
TraX,Snake
TRIGGER,Simon
TriM,Mega Man
Trinket,Jigglypuff
Triple,Link
Triple A,Steve
Triple De,King Dedede
TrueGek,Joker
TrueGek,Sonic
Tsu,Terry
Tsu,Lucario
Tsu,Mii Swordfighter
Tsu,Cloud
Tsubaki,Joker
Tsubotsubo,Olimar
Tsubotsubo,Joker
Tsumusuto,Dr. Mario
Tsumusuto,Ryu
Tsumusuto,Mii Gunner
tsun,Joker
Tsuna,Greninja
Tsuna,Roy
Tsuna,Cloud
Tu Papa,G&W
Tubasuwa,Donkey Kong
Tuitt,Robin
Turn Up,Sonic
Turn Up,Diddy
Turn Up,Mii Brawler
Twan,Pichu
Twan,Mario
Tweek,Diddy Kong
Tweek,Sephiroth
Tweek,PT
Tweek,Roy
Tweek,Wario
Tweek,Wolf
Twi,Hero
Ty,Zelda
Ty,Steve
Tyakku,Snake
Tyler,Aegis
Tyler,Roy
Tyler,Joker
Tyranks,Lucina
uame,Olimar
ube,Lucina
UDH6,Min Min
Ultm salt,Steve
Ultm salt,Cloud
Umeboshi,R.O.B
Umeki,Daisy
Uncivil ninja,Shulk
Unfezant,Mario
Unleashed,Sora
Unleashed,Banjo
Up_N_Down,Toon Link
Uraomote,Wario
Usukeza,Hero
Uto,Meta Knight
Utop-ian,Inkling
VaLoR,Sonic
Vanilla,Greninja
Vanitas,Captain Falcon
Vapor,G&W
Vargoose,R.O.B
varun,Wii Fit Trainer
ven,Zelda
Vendetta,Ken
Vendetta,Ryu
Vendetta,Terry
VenJimX,Pikachu
Venom,Ike
Venom,Ken
Venus,Luigi
Verdant,Link
veto,Palutena
VGAddict,Ganondorf
Vi,Luigi
Viceroy,Rosalina
Vidrocker,Incineroar
VinS,Link
Viola,Meta Knight
Vivi,Hero
Vivi,Lucario
Vivid,Toon Link
VoiD,Sheik
VoiD,Pichu
VoiD,Joker
Volteon,Pichu
Vuhladdin,Lucina
W4wambo,Olimar
Wada,Bowser
Waga,R.O.B
WaKa,Luigi
Waker,Mega Man
Wasabi,Greninja
Washi,Wolf
Washi,G&W
WastaKen,Joker
WastaKen,Olimar
Waymas,Wario
Waymas,Wario
WebbJP,Sheik
Weijie01,Aegis
Wes,King K.Rool
Wesnile,Kirby
Weste,Bowser
Weste,Jigglypuff
Whisker,Roy
Whisky,Robin
Who,Luigi
Whoophee,Sephiroth
Wildz,Kazuya
william,Ryu
william,Byleth
william,Ken
Wise,Luigi
Wolfen,Banjo
Wolfen,Kazuya
Wombat,Donkey Kong
Wonf,Inkling
Wrath,Sonic
Wulfy,Ike
Wumbulon,Robin
Wumbulon,King Dedede
X'avier,Wii Fit Trainer
Xaiop,Robin
Xan,Lucina
XCido,Steve
Xerzal,Min Min
Xetroz,Greninja
XF0,G&W
XIFL,Roy
XIFL,PT
xSolozx,R.O.B
Xtorm,Snake
Xyro,Mii Brawler 
Xyxeon,Diddy Kong
Yadon,Aegis
YamaD,Rosalina
Yamagon,Ridley
Yamanaction,Steve
Yamanaction,Luigi
Yamanaction,Roy
Yan,Mario
Yanbu,Joker
Yanbu,Joker
Yashill,Zelda
Yaura,Samus
Yaura,Dark Samus
Yayayuili,Jigglypuff
YBL,Wolf
YDelirious,Terry
Yeast,Mii Brawler
Yetey,Min Min
Yetey,Pichu
Yez,Ike
YMCA,Donkey Kong
Yn,Zelda
YOC,Cloud
Yoda Cage,Bowser Jr
yoko#,R.O.B
yonni,Steve
yooo冰,Zelda
YoseFu,Simon
Yoshidora,Yoshi
Yourbro,Kazuya
Yourbro,Steve
Yousef2AT,Snake
Youyou,Shulk
Yuka!,Snake
Yukio,R.O.B
Yusshi,Steve
yuzu,Pichu
yuzu,Rosalina
yuzu,Min Min
YvelX,Joker
Z,Diddy Kong
z3,Young Link
zackray,Pit
zackray,Joker
zackray,Wolf
zackray,R.O.B
zackray,G&W
Zaheer,Link
Zain,Lucina
ZAKI,King Dedede
ZanT,PT
Zapa Roach,Fox
Zapa Roach,Piranha Plant
ZD,Fox
ZD,Wolf
ZD,Ridley
ZebraBoi,King K.Rool
Zekip,Shulk
zell,Steve
Zemmol,Bowser
Zemmol,Cloud
Zenonyte,Simon
Zenyou,Mario
Zeon,Falco
Zerin,Joker
Zexyyy,Young Link
Zie,Palutena
Zinoto,Diddy Kong
Zinoto,Peach
Zlyppy,Luigi
Zomba,R.O.B
Zomba,Lucina
Zozef,Roy
Ally,Snake
Ally,Mario
WaDi,R.O.B
WaDi,Mewtwo
WaDi,Ice Climbers
Yei,Meta Knight
Yei,Palutena
Yei,Byleth
Yei,Sephiroth
Samsora,Peach
Nairo,Palutena
Nairo,Zero Suit Samus
Nairo,Sephiroth
Salem,Hero
Salem,Snake
Raffi-X,R.O.B
Elegant,Luigi
CaptainZack,Bayonetta
CaptainZack,Peach
CaptainZack,Daisy
Puppeh,PT
Wishes,PT
Wishes,Joker
